,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
430,Julian Chabot,de GER,DF,Köln,de Bundesliga,24-290,1998,1.4,0,3,0,0.0,2.14,0.00,0.00,,3.9,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches,ae7058f9
431,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17-197,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2180c761
432,Fares Chaïbi,fr FRA,FWMF,Toulouse,fr Ligue 1,20-001,2002,9.2,2,20,6,30.0,2.16,0.65,0.10,0.33,15.3,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches,357103bd
433,Nathaniel Chalobah,eng ENG,MF,Fulham,eng Premier League,27-352,1994,0.1,0,1,1,100.0,8.18,8.18,0.00,0.00,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,422862ea
434,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,23-147,1999,8.0,0,4,1,25.0,0.50,0.12,0.00,0.00,9.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,5515376c
435,Calum Chambers,eng ENG,DF,Aston Villa,eng Premier League,27-313,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dc6f5bdd
436,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,32-245,1990,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3b7f5a6
437,Gaëtan Charbonnier,fr FRA,FWMF,Auxerre,fr Ligue 1,33-337,1988,2.8,1,7,1,14.3,2.48,0.35,0.14,1.00,23.2,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches,18ebca4b
438,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,27-342,1994,13.5,0,5,0,0.0,0.37,0.00,0.00,,11.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,16aa7d4c
439,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,31-267,1991,8.0,1,10,5,50.0,1.24,0.62,0.10,0.20,22.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,279ddf6a
440,Pep Chavarría,es ESP,FWDF,Rayo Vallecano,es La Liga,24-233,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,63c5e56b
441,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,19-104,2003,2.5,0,9,2,22.2,3.65,0.81,0.00,0.00,20.7,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,b34c63a5
442,Ilyes Cheti,dz ALG,DF,Angers,fr Ligue 1,27-311,1995,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9d498560
443,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21-023,2001,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3d76d84
444,Fabio Chiarodia,it ITA,DF,Werder Bremen,de Bundesliga,17-177,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,48780156
445,Federico Chiesa,it ITA,DFFW,Juventus,it Serie A,25-035,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b0f7e36c
446,Ben Chilwell,eng ENG,DFMF,Chelsea,eng Premier League,25-343,1996,4.7,1,3,1,33.3,0.64,0.21,0.33,1.00,15.3,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches,d2424d1b
447,Vlad Chiricheș,ro ROU,DF,Cremonese,it Serie A,33-015,1989,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c316607a
448,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,25-190,1997,13.3,0,12,3,25.0,0.90,0.23,0.00,0.00,22.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,68a26d51
449,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21-066,2001,10.6,0,4,0,0.0,0.38,0.00,0.00,,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,7909ffa4
450,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26-233,1996,3.5,0,1,0,0.0,0.28,0.00,0.00,,4.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,1cb49278
451,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,23-252,1999,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,af104654
452,Ryan Christie,sct SCO,MFFW,Bournemouth,eng Premier League,27-280,1995,8.0,1,14,4,28.6,1.75,0.50,0.07,0.25,14.5,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,26ce2263
453,Carney Chukwuemeka,eng ENG,MF,Chelsea,eng Premier League,19-040,2003,0.5,0,1,1,100.0,1.96,1.96,0.00,0.00,12.4,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,b2f9c73e
454,Samuel Chukwueze,ng NGA,FWMF,Villarreal,es La Liga,23-191,1999,6.0,0,14,2,14.3,2.34,0.33,0.00,0.00,18.5,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,b8a642fc
455,Darko Churlinov,mk MKD,FW,Stuttgart,de Bundesliga,22-141,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c6608135
456,Víctor Chust,es ESP,DF,Cádiz,es La Liga,22-269,2000,9.5,1,1,1,100.0,0.11,0.11,1.00,1.00,3.7,0,0,0,0.8,0.8,0.80,+0.2,+0.2,Matches,ec1a731e
457,Yanis Cimignani,fr FRA,MFDF,Ajaccio,fr Ligue 1,20-311,2002,3.1,0,6,2,33.3,1.94,0.65,0.00,0.00,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,7495aba7
458,Daniel Ciofani,it ITA,FW,Cremonese,it Serie A,37-121,1985,2.7,2,7,2,28.6,2.58,0.74,0.14,0.50,15.1,0,1,2,2.1,0.3,0.05,-0.1,+0.7,Matches,b09a3ecc
459,Pathé Ciss,sn SEN,MFDF,Rayo Vallecano,es La Liga,28-258,1994,7.1,1,10,3,30.0,1.40,0.42,0.10,0.33,19.3,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches,9a0408b6
460,Souleymane Cissé,fr FRA,DF,Clermont Foot,fr Ligue 1,20-113,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff4d0258
461,Patrick Ciurria,it ITA,DFMF,Monza,it Serie A,27-293,1995,8.6,0,14,5,35.7,1.63,0.58,0.00,0.00,22.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,5de3866c
462,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,17-295,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73341ace
463,Alexis Claude-Maurice,fr FRA,FW,Nice,fr Ligue 1,24-176,1998,0.7,0,2,0,0.0,2.81,0.00,0.00,,24.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,741418c3
464,Alexis Claude-Maurice,fr FRA,MFFW,Lens,fr Ligue 1,24-176,1998,2.4,0,5,2,40.0,2.05,0.82,0.00,0.00,19.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,741418c3
465,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30-065,1992,12.3,1,19,5,26.3,1.55,0.41,0.05,0.20,16.7,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches,5219ab4a
466,Carlos Clerc,es ESP,DF,Elche,es La Liga,30-281,1992,9.6,0,5,3,60.0,0.52,0.31,0.00,0.00,15.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,33a61a52
467,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,31-238,1991,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0442183b
468,Conor Coady,eng ENG,DF,Everton,eng Premier League,29-277,1993,13.9,1,3,2,66.7,0.22,0.14,0.33,0.50,9.9,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Matches,2928dca2
469,Marcus Coco,fr FRA,DFFW,Nantes,fr Ligue 1,26-158,1996,2.4,0,3,0,0.0,1.23,0.00,0.00,,16.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,3010aefb
470,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,30-282,1992,6.5,0,1,0,0.0,0.15,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,c4065f40
471,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,33-036,1989,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,963a9201
472,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34-049,1988,6.7,0,3,0,0.0,0.45,0.00,0.00,,17.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,0420d84f
473,Álex Collado,es ESP,MFFW,Elche,es La Liga,23-221,1999,5.7,1,11,5,45.5,1.93,0.88,0.09,0.20,21.0,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,85dace26
474,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,30-036,1992,12.5,1,4,2,50.0,0.32,0.16,0.25,0.50,7.3,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,8b95acda
475,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21-213,2001,11.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a8c19eb8
476,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,20-266,2002,5.2,3,15,5,33.3,2.86,0.95,0.20,0.60,17.9,0,0,1,2.1,1.4,0.09,+0.9,+1.6,Matches,04df29a5
477,Andrea Colpani,it ITA,MF,Monza,it Serie A,23-202,1999,3.8,2,10,3,30.0,2.65,0.80,0.20,0.67,21.0,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches,6499048c
478,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,19-276,2003,1.1,0,1,0,0.0,0.87,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,700783e7
479,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,26-169,1996,5.9,1,14,3,21.4,2.39,0.51,0.07,0.33,18.0,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches,042e8a49
480,Eray Cömert,ch SUI,DF,Valencia,es La Liga,24-298,1998,9.7,1,7,4,57.1,0.72,0.41,0.14,0.25,17.1,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,15937e17
481,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,26-055,1996,8.1,1,12,2,16.7,1.48,0.25,0.08,0.50,15.5,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches,5ae499d0
482,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,35-306,1987,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8cabdc1e
483,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,24-250,1998,5.2,1,2,1,50.0,0.39,0.19,0.50,1.00,16.3,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches,cfa49cc1
484,Andrea Conti,it ITA,DF,Sampdoria,it Serie A,28-272,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8fef5412
485,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,25-299,1997,13.3,0,3,0,0.0,0.23,0.00,0.00,,26.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2afc7272
486,Steve Cook,eng ENG,DF,Nott'ham Forest,eng Premier League,31-224,1991,10.6,0,3,0,0.0,0.28,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,3e5e4e63
487,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,31-091,1991,7.5,1,6,2,33.3,0.80,0.27,0.17,0.50,10.7,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,dc64b8b3
488,Copete,es ESP,DF,Mallorca,es La Liga,23-050,1999,11.1,0,3,0,0.0,0.27,0.00,0.00,,7.9,0,0,0,0.7,0.2,0.07,-0.7,-0.2,Matches,0f26ffd7
489,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,18-336,2003,5.5,0,2,0,0.0,0.36,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,22ae86f9
490,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,31-200,1991,5.8,1,4,1,25.0,0.69,0.17,0.25,1.00,17.8,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches,a6951bf8
491,Sébastien Corchia,fr FRA,DFMF,Nantes,fr Ligue 1,32-028,1990,4.1,0,1,0,0.0,0.24,0.00,0.00,,28.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,0e7ccfc4
492,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,26-063,1996,1.0,0,4,1,25.0,3.96,0.99,0.00,0.00,9.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,beb391dd
493,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,29-327,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fb938d24
494,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,27-265,1995,5.7,3,20,7,35.0,3.51,1.23,0.15,0.43,15.6,0,0,0,2.7,2.7,0.13,+0.3,+0.3,Matches,01eb744d
495,Joaquín Correa,ar ARG,FW,Inter,it Serie A,28-108,1994,3.8,3,9,5,55.6,2.38,1.32,0.33,0.60,11.6,0,0,0,2.1,2.1,0.24,+0.9,+0.9,Matches,45b9b619
496,Thierry Correia,pt POR,DF,Valencia,es La Liga,23-265,1999,13.5,0,4,0,0.0,0.30,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,c78b352d
497,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,21-308,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bfc359ed
498,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29-139,1993,4.7,0,4,0,0.0,0.84,0.00,0.00,,15.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,5ddb8f9f
499,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,21-328,2001,10.9,1,19,4,21.1,1.74,0.37,0.05,0.25,16.4,2,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches,59948ef7
500,Diego Costa,es ESP,FW,Wolves,eng Premier League,34-053,1988,4.6,0,16,5,31.3,3.50,1.09,0.00,0.00,11.4,0,0,0,1.7,1.7,0.11,-1.7,-1.7,Matches,a190d597
501,Jaume Costa,es ESP,DF,Mallorca,es La Liga,34-256,1988,10.7,0,7,5,71.4,0.65,0.47,0.00,0.00,12.9,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches,808d48f3
502,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,21-242,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bfb2056e
503,Nuno da Costa,cv CPV,FWMF,Auxerre,fr Ligue 1,31-292,1991,8.9,2,13,6,46.2,1.46,0.67,0.15,0.33,14.4,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches,909222de
504,Samu Costa,pt POR,MF,Almería,es La Liga,22-002,2000,8.5,0,5,2,40.0,0.59,0.23,0.00,0.00,28.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,76c2a023
505,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35-149,1987,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2434f24a
506,Vladimír Coufal,cz CZE,DFMF,West Ham,eng Premier League,30-099,1992,7.6,0,2,0,0.0,0.26,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,fdf3cb77
507,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26-233,1996,12.9,1,6,3,50.0,0.46,0.23,0.17,0.33,18.8,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,85a44ecc
508,Tanguy Coulibaly,fr FRA,DF,Stuttgart,de Bundesliga,21-284,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,05ba9d7c
509,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30-202,1992,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1840e36d
510,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,36-254,1986,8.9,0,2,0,0.0,0.22,0.00,0.00,,29.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,ef8ae23b
511,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,30-170,1992,6.3,0,16,6,37.5,2.52,0.95,0.00,0.00,20.5,2,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches,0ef89a37
512,Yan Couto,br BRA,DFFW,Girona,es La Liga,20-179,2002,5.6,0,2,0,0.0,0.36,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,1944818c
513,Conor Coventry,ie IRL,MFFW,West Ham,eng Premier League,22-249,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5ca9127
514,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,23-325,1999,13.7,2,7,4,57.1,0.51,0.29,0.29,0.50,10.0,0,0,0,1.4,1.4,0.20,+0.6,+0.6,Matches,8f325097
515,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,32-349,1989,13.8,0,5,1,20.0,0.36,0.07,0.00,0.00,21.7,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,4f974391
516,Bryan Cristante,it ITA,MF,Roma,it Serie A,27-271,1995,13.8,1,13,1,7.7,0.95,0.07,0.08,1.00,19.2,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,16657b95
517,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,30-124,1992,11.2,0,1,0,0.0,0.09,0.00,0.00,,9.5,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches,a56da3ba
518,Juan Cruz,es ESP,FW,Betis,es La Liga,22-218,2000,1.9,1,5,2,40.0,2.59,1.03,0.20,0.50,16.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,cc2dd8a5
519,Juan Cuadrado,co COL,DFFW,Juventus,it Serie A,34-187,1988,11.3,0,16,5,31.3,1.41,0.44,0.00,0.00,18.9,2,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,0ab1f153
520,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,24-130,1998,9.4,0,5,0,0.0,0.53,0.00,0.00,,18.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,1daec722
521,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23-012,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0abc51f2
522,Braian Cufré,ar ARG,DF,Mallorca,es La Liga,25-349,1996,2.2,0,3,0,0.0,1.39,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,192c89a6
523,Matheus Cunha,br BRA,FWMF,Atlético Madrid,es La Liga,23-186,1999,4.2,0,12,8,66.7,2.86,1.91,0.00,0.00,16.1,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches,dc62b55d
524,Curro,es ESP,MF,Almería,es La Liga,26-330,1996,0.5,0,1,1,100.0,2.09,2.09,0.00,0.00,15.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,f9a225f5
525,Marco D'Alessandro,it ITA,DFFW,Monza,it Serie A,31-285,1991,2.9,0,4,1,25.0,1.36,0.34,0.00,0.00,16.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,060606ec
526,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,34-081,1988,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,44eb9093
527,Luca D'Andrea,it ITA,FW,Sassuolo,it Serie A,18-084,2004,3.5,0,7,3,42.9,1.99,0.85,0.00,0.00,17.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,f778fe3f
528,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,34-196,1988,1.8,0,1,0,0.0,0.57,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,1ec7e1c5
529,Moanes Dabbur,il ISR,FWMF,Hoffenheim,de Bundesliga,30-199,1992,4.7,4,11,9,81.8,2.35,1.92,0.36,0.44,15.6,0,0,0,1.7,1.7,0.15,+2.3,+2.3,Matches,eac044ad
530,Colin Dagba,fr FRA,DF,Strasbourg,fr Ligue 1,24-081,1998,5.1,0,2,0,0.0,0.39,0.00,0.00,,17.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,29c02c9f
531,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,26-332,1996,2.0,0,3,0,0.0,1.48,0.00,0.00,,31.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,db4ed67b
532,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,24-051,1998,7.1,3,18,11,61.1,2.52,1.54,0.17,0.27,15.0,0,0,0,2.3,2.3,0.13,+0.7,+0.7,Matches,ca45605e
533,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,22-118,2000,10.0,3,18,9,50.0,1.80,0.90,0.17,0.33,11.1,0,0,0,3.1,3.1,0.17,-0.1,-0.1,Matches,b70afb45
534,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,23-256,1999,12.9,0,10,3,30.0,0.77,0.23,0.00,0.00,19.9,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,d9565625
535,Muhammed Damar,de GER,MF,Hoffenheim,de Bundesliga,18-234,2004,1.4,0,1,0,0.0,0.70,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,d3d77413
536,Mikkel Damsgaard,dk DEN,MFFW,Brentford,eng Premier League,22-149,2000,3.0,0,3,3,100.0,1.01,1.01,0.00,0.00,15.7,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches,215f3907
537,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,21-216,2001,9.4,0,4,3,75.0,0.43,0.32,0.00,0.00,16.9,1,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,7ef972c3
538,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,21-216,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7ef972c3
539,Danilo,br BRA,DF,Juventus,it Serie A,31-137,1991,14.1,0,9,0,0.0,0.64,0.00,0.00,,15.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,94b2001f
540,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,24-071,1998,15.0,1,9,1,11.1,0.60,0.07,0.11,1.00,15.8,0,0,0,1.4,1.3,0.14,-0.4,-0.3,Matches,6e33125f
541,Dante,br BRA,DF,Nice,fr Ligue 1,39-042,1983,14.0,0,9,2,22.2,0.64,0.14,0.00,0.00,14.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,fd2bc67d
542,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,20-290,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,14.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,41bff4fa
543,Sergi Darder,es ESP,MF,Espanyol,es La Liga,28-342,1993,13.7,2,18,4,22.2,1.31,0.29,0.11,0.50,23.6,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches,070a3904
544,Achraf Dari,ma MAR,DF,Brest,fr Ligue 1,23-207,1999,8.0,1,4,2,50.0,0.50,0.25,0.25,0.50,15.4,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,5069b796
545,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,32-113,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3eb0f2df
546,Matteo Darmian,it ITA,DF,Inter,it Serie A,32-362,1989,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,96e0490d
547,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,24-037,1998,7.6,2,9,4,44.4,1.18,0.52,0.22,0.50,20.7,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Matches,60344e4f
548,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,22-319,2000,14.8,9,47,23,48.9,3.19,1.56,0.15,0.30,15.2,0,2,3,10.0,7.7,0.17,-1.0,-0.7,Matches,ce50fd99
549,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-027,2000,11.1,0,7,3,42.9,0.63,0.27,0.00,0.00,19.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,d781d855
550,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,29-219,1993,11.1,2,7,4,57.1,0.63,0.36,0.29,0.50,19.8,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Matches,44781702
551,Tom Davies,eng ENG,MF,Everton,eng Premier League,24-152,1998,3.3,0,5,0,0.0,1.51,0.00,0.00,,18.1,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,9228b07c
552,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,27-193,1995,5.2,1,7,2,28.6,1.33,0.38,0.14,0.50,10.7,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches,16bb656a
553,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,32-207,1990,5.0,0,2,0,0.0,0.40,0.00,0.00,,18.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,3e9e06cb
554,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31-154,1991,12.6,3,34,12,35.3,2.71,0.95,0.09,0.25,23.4,4,0,0,2.5,2.5,0.07,+0.5,+0.5,Matches,e46012d4
555,Charles De Ketelaere,be BEL,MFFW,Milan,it Serie A,21-264,2001,6.4,0,9,1,11.1,1.40,0.16,0.00,0.00,12.9,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,2ef7c612
556,Manuel De Luca,it ITA,FW,Sampdoria,it Serie A,24-135,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,60e3603d
557,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-189,1994,7.4,1,8,3,37.5,1.07,0.40,0.13,0.33,25.9,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,162efffd
